t              u1              u2
=================================================
0.000000       0.000000      -0.412000
0.000998       0.000998      -0.412169
0.001996       0.001996      -0.412338
0.002993       0.002994      -0.412505
0.003990       0.003992      -0.412672
0.004986       0.004990      -0.412838
0.005982       0.005988      -0.413003
0.006977       0.006986      -0.413166
0.007973       0.007984      -0.413329
0.008967       0.008982      -0.413491
0.009962       0.009980      -0.413652
0.010956       0.010978      -0.413813
0.011949       0.011976      -0.413972
0.012942       0.012974      -0.414130
0.013935       0.013972      -0.414288
0.014927       0.014970      -0.414444
0.015919       0.015968      -0.414600
0.016911       0.016966      -0.414754
0.017902       0.017964      -0.414908
0.018892       0.018962      -0.415061
0.019883       0.019960      -0.415213
0.020873       0.020958      -0.415364
0.021862       0.021956      -0.415514
0.022851       0.022954      -0.415663
0.023840       0.023952      -0.415811
0.024828       0.024950      -0.415959
0.025816       0.025948      -0.416105
0.026803       0.026946      -0.416250
0.027790       0.027944      -0.416395
0.028777       0.028942      -0.416539
0.029763       0.029940      -0.416681
0.030749       0.030939      -0.416823
0.031735       0.031937      -0.416964
0.032720       0.032935      -0.417104
0.033705       0.033933      -0.417243
0.034689       0.034931      -0.417382
0.035673       0.035929      -0.417519
0.036656       0.036927      -0.417655
0.037639       0.037925      -0.417791
0.038622       0.038923      -0.417925
0.039604       0.039921      -0.418059
0.040586       0.040919      -0.418192
0.041568       0.041917      -0.418324
0.042549       0.042915      -0.418455
0.043530       0.043913      -0.418585
0.044510       0.044911      -0.418714
0.045490       0.045909      -0.418842
0.046469       0.046907      -0.418970
0.047449       0.047905      -0.419096
0.048427       0.048903      -0.419222
0.049406       0.049901      -0.419346
0.050384       0.050899      -0.419470
0.051361       0.051897      -0.419593
0.052338       0.052895      -0.419715
0.053315       0.053893      -0.419836
0.054292       0.054891      -0.419956
0.055268       0.055889      -0.420076
0.056243       0.056888      -0.420194
0.057219       0.057886      -0.420312
0.058193       0.058884      -0.420428
0.059168       0.059882      -0.420544
0.060142       0.060880      -0.420659
0.061116       0.061878      -0.420773
0.062089       0.062876      -0.420886
0.063062       0.063874      -0.420998
0.064034       0.064872      -0.421109
0.065007       0.065870      -0.421220
0.065978       0.066868      -0.421329
0.066950       0.067866      -0.421438
0.067921       0.068864      -0.421546
0.068891       0.069862      -0.421652
0.069862       0.070860      -0.421758
0.070832       0.071858      -0.421863
0.071801       0.072856      -0.421968
0.072770       0.073854      -0.422071
0.073739       0.074853      -0.422173
0.074707       0.075851      -0.422275
0.075675       0.076849      -0.422376
0.076643       0.077847      -0.422475
0.077610       0.078845      -0.422574
0.078577       0.079843      -0.422672
0.079543       0.080841      -0.422770
