t              u1             u2             u3
=====================================================
0.000000       1.000000       2.000000       3.000000
0.000333       1.000000       2.000999       3.000000
0.000666       1.000000       2.001999       3.000000
0.000999       1.000000       2.002998       3.000000
0.001332       1.000000       2.003997       3.000000
0.001666       1.000000       2.004997       3.000000
0.001999       1.000000       2.005996       3.000000
0.002332       1.000000       2.006995       3.000000
0.002665       1.000000       2.007995       3.000000
0.002998       1.000000       2.008994       3.000000
0.003331       1.000000       2.009993       3.000000
0.003664       1.000000       2.010993       3.000000
0.003997       1.000000       2.011992       3.000000
0.004330       1.000000       2.012991       3.000000
0.004664       1.000000       2.013991       3.000000
0.004997       1.000000       2.014990       3.000000
0.005330       1.000000       2.015989       3.000000
0.005663       1.000000       2.016989       3.000000
0.005996       1.000000       2.017988       3.000000
0.006329       1.000000       2.018987       3.000000
0.006662       1.000000       2.019987       3.000000
0.006995       1.000000       2.020986       3.000000
0.007328       1.000000       2.021985       3.000000
0.007662       1.000000       2.022985       3.000000
0.007995       1.000000       2.023984       3.000000
0.008328       1.000000       2.024983       3.000000
0.008661       1.000000       2.025983       3.000000
0.008994       1.000000       2.026982       3.000000
0.009327       1.000000       2.027981       3.000000
0.009660       1.000000       2.028981       3.000000
0.009993       1.000000       2.029980       3.000000
0.010326       1.000000       2.030979       3.000000
0.010660       1.000000       2.031979       3.000000
0.010993       1.000000       2.032978       3.000000
0.011326       1.000000       2.033977       3.000000
0.011659       1.000000       2.034977       3.000000
0.011992       1.000000       2.035976       3.000000
0.012325       1.000000       2.036975       3.000000
0.012658       1.000000       2.037975       3.000000
0.012991       1.000000       2.038974       3.000000
0.013324       1.000000       2.039973       3.000000
0.013658       1.000000       2.040973       3.000000
0.013991       1.000000       2.041972       3.000000
0.014324       1.000000       2.042971       3.000000
0.014657       1.000000       2.043971       3.000000
0.014990       1.000000       2.044970       3.000000
0.015323       1.000000       2.045969       3.000000
0.015656       1.000000       2.046969       3.000000
0.015989       1.000000       2.047968       3.000000
0.016322       1.000000       2.048967       3.000000
0.016656       1.000000       2.049967       3.000000
0.016989       1.000000       2.050966       3.000000
0.017322       1.000000       2.051965       3.000000
0.017655       1.000000       2.052965       3.000000
0.017988       1.000000       2.053964       3.000000
0.018321       1.000000       2.054963       3.000000
0.018654       1.000000       2.055963       3.000000
0.018987       1.000000       2.056962       3.000000
0.019320       1.000000       2.057961       3.000000
0.019654       1.000000       2.058961       3.000000
0.019987       1.000000       2.059960       3.000000
0.020320       1.000000       2.060959       3.000000
0.020653       1.000000       2.061959       3.000000
0.020986       1.000000       2.062958       3.000000
0.021319       1.000000       2.063957       3.000000
0.021652       1.000000       2.064957       3.000000
0.021985       1.000000       2.065956       3.000000
0.022318       1.000000       2.066955       3.000000
0.022652       1.000000       2.067955       3.000000
0.022985       1.000000       2.068954       3.000000
0.023318       1.000000       2.069953       3.000000
0.023651       1.000000       2.070953       3.000000
0.023984       1.000000       2.071952       3.000000
0.024317       1.000000       2.072951       3.000000
0.024650       1.000000       2.073951       3.000000
0.024983       1.000000       2.074950       3.000000
0.025316       1.000000       2.075949       3.000000
0.025650       1.000000       2.076949       3.000000
0.025983       1.000000       2.077948       3.000000
0.026316       1.000000       2.078947       3.000000
0.026649       1.000000       2.079947       3.000000
0.026982       1.000000       2.080946       3.000000
0.027315       1.000000       2.081945       3.000000
0.027648       1.000000       2.082945       3.000000
0.027981       1.000000       2.083944       3.000000
0.028314       1.000000       2.084943       3.000000
0.028648       1.000000       2.085943       3.000000
0.028981       1.000000       2.086942       3.000000
0.029314       1.000000       2.087941       3.000000
0.029647       1.000000       2.088941       3.000000
0.029980       1.000000       2.089940       3.000000
0.030313       1.000000       2.090939       3.000000
0.030646       1.000000       2.091939       3.000000
0.030979       1.000000       2.092938       3.000000
0.031312       1.000000       2.093937       3.000000
0.031646       1.000000       2.094937       3.000000
0.031979       1.000000       2.095936       3.000000
0.032312       1.000000       2.096935       3.000000
0.032645       1.000000       2.097935       3.000000
0.032978       1.000000       2.098934       3.000000
0.033311       1.000000       2.099933       3.000000
0.033644       1.000000       2.100933       3.000000
0.033977       1.000000       2.101932       3.000000
0.034310       1.000000       2.102931       3.000000
0.034644       1.000000       2.103931       3.000000
0.034977       1.000000       2.104930       3.000000
0.035310       1.000000       2.105929       3.000000
0.035643       1.000000       2.106929       3.000000
0.035976       1.000000       2.107928       3.000000
0.036309       1.000000       2.108927       3.000000
0.036642       1.000000       2.109927       3.000000
0.036975       1.000000       2.110926       3.000000
0.037308       1.000000       2.111925       3.000000
0.037642       1.000000       2.112925       3.000000
0.037975       1.000000       2.113924       3.000000
0.038308       1.000000       2.114923       3.000000
0.038641       1.000000       2.115923       3.000000
0.038974       1.000000       2.116922       3.000000
0.039307       1.000000       2.117921       3.000000
0.039640       1.000000       2.118921       3.000000
0.039973       1.000000       2.119920       3.000000
0.040306       1.000000       2.120919       3.000000
0.040640       1.000000       2.121919       3.000000
0.040973       1.000000       2.122918       3.000000
0.041306       1.000000       2.123917       3.000000
0.041639       1.000000       2.124917       3.000000
0.041972       1.000000       2.125916       3.000000
0.042305       1.000000       2.126915       3.000000
