t              u1             u2             u3
=====================================================
0.000000       1.000000       2.000000       3.000000
0.000156       1.000000       2.000469       3.000000
0.000313       1.000000       2.000938       3.000000
0.000625       1.000000       2.001875       3.000000
0.001250       1.000000       2.003750       3.000000
0.002500       1.000000       2.007500       3.000000
0.005000       1.000000       2.015000       3.000000
0.010000       1.000000       2.030000       3.000000
0.020000       1.000000       2.060000       3.000000
0.040000       1.000000       2.120000       3.000000
0.080000       1.000000       2.240000       3.000000
0.160000       1.000000       2.480000       3.000000
0.320000       1.000000       2.960000       3.000000
0.640000       1.000000       3.920000       3.000000
1.000000       1.000000       4.670000       3.000000

Iterations	quantity is 15
