t              u1             u2             u3
=====================================================
0.000000       1.000000       2.000000       3.000000
0.000156       1.000000       2.000469       3.000000
0.000313       1.000000       2.000938       3.000000
0.000625       1.000000       2.001875       3.000000
0.001250       1.000000       2.003750       3.000000
0.001875       1.000000       2.005625       3.000000
0.002500       1.000000       2.007500       3.000000
0.003125       1.000000       2.009375       3.000000
0.003750       1.000000       2.011250       3.000000
0.004375       1.000000       2.013125       3.000000
0.005000       1.000000       2.015000       3.000000
0.005625       1.000000       2.016875       3.000000
0.006250       1.000000       2.018750       3.000000
0.006875       1.000000       2.020625       3.000000
0.007500       1.000000       2.022500       3.000000
0.008125       1.000000       2.024375       3.000000
0.008750       1.000000       2.026250       3.000000
0.009375       1.000000       2.028125       3.000000
0.010000       1.000000       2.030000       3.000000
0.010625       1.000000       2.031875       3.000000
0.011250       1.000000       2.033750       3.000000
0.011875       1.000000       2.035625       3.000000
0.012500       1.000000       2.037500       3.000000
0.013125       1.000000       2.039375       3.000000
0.013750       1.000000       2.041250       3.000000
0.014375       1.000000       2.043125       3.000000
0.015000       1.000000       2.045000       3.000000
0.015625       1.000000       2.046875       3.000000
0.016250       1.000000       2.048750       3.000000
0.016875       1.000000       2.050625       3.000000
0.017500       1.000000       2.052500       3.000000
0.018125       1.000000       2.054375       3.000000
0.018750       1.000000       2.056250       3.000000
0.019375       1.000000       2.058125       3.000000
0.020000       1.000000       2.060000       3.000000
0.020625       1.000000       2.061875       3.000000
0.021250       1.000000       2.063750       3.000000
0.021875       1.000000       2.065625       3.000000
0.022500       1.000000       2.067500       3.000000
0.023125       1.000000       2.069375       3.000000
0.023750       1.000000       2.071250       3.000000
0.024375       1.000000       2.073125       3.000000
0.025000       1.000000       2.075000       3.000000
0.025625       1.000000       2.076875       3.000000
0.026250       1.000000       2.078750       3.000000
0.026875       1.000000       2.080625       3.000000
0.027500       1.000000       2.082500       3.000000
0.028125       1.000000       2.084375       3.000000
0.028750       1.000000       2.086250       3.000000
0.029375       1.000000       2.088125       3.000000
0.030000       1.000000       2.090000       3.000000
0.030625       1.000000       2.091875       3.000000
0.031250       1.000000       2.093750       3.000000
0.031875       1.000000       2.095625       3.000000
0.032500       1.000000       2.097500       3.000000
0.033125       1.000000       2.099375       3.000000
0.033750       1.000000       2.101250       3.000000
0.034375       1.000000       2.103125       3.000000
0.035000       1.000000       2.105000       3.000000
0.035625       1.000000       2.106875       3.000000
0.036250       1.000000       2.108750       3.000000
0.036875       1.000000       2.110625       3.000000
0.037500       1.000000       2.112500       3.000000
0.038125       1.000000       2.114375       3.000000
0.038750       1.000000       2.116250       3.000000
0.039375       1.000000       2.118125       3.000000
0.040000       1.000000       2.120000       3.000000
0.040625       1.000000       2.121875       3.000000
0.041250       1.000000       2.123750       3.000000
0.041875       1.000000       2.125625       3.000000
0.042500       1.000000       2.127500       3.000000
0.043125       1.000000       2.129375       3.000000
0.043750       1.000000       2.131250       3.000000
0.044375       1.000000       2.133125       3.000000
0.045000       1.000000       2.135000       3.000000
0.045625       1.000000       2.136875       3.000000
0.046250       1.000000       2.138750       3.000000
0.046875       1.000000       2.140625       3.000000
0.047500       1.000000       2.142500       3.000000
0.048125       1.000000       2.144375       3.000000
0.048750       1.000000       2.146250       3.000000
0.049375       1.000000       2.148125       3.000000
0.050000       1.000000       2.150000       3.000000
0.050625       1.000000       2.151875       3.000000
0.051250       1.000000       2.153750       3.000000
0.051875       1.000000       2.155625       3.000000
0.052500       1.000000       2.157500       3.000000
0.053125       1.000000       2.159375       3.000000
0.053750       1.000000       2.161250       3.000000
0.054375       1.000000       2.163125       3.000000
0.055000       1.000000       2.165000       3.000000
0.055625       1.000000       2.166875       3.000000
0.056250       1.000000       2.168750       3.000000
0.056875       1.000000       2.170625       3.000000
0.057500       1.000000       2.172500       3.000000
0.058125       1.000000       2.174375       3.000000
0.058750       1.000000       2.176250       3.000000
0.059375       1.000000       2.178125       3.000000
0.060000       1.000000       2.180000       3.000000
0.060625       1.000000       2.181875       3.000000
0.061250       1.000000       2.183750       3.000000
0.061875       1.000000       2.185625       3.000000
0.062500       1.000000       2.187500       3.000000
0.063125       1.000000       2.189375       3.000000
0.063750       1.000000       2.191250       3.000000
0.064375       1.000000       2.193125       3.000000
0.065000       1.000000       2.195000       3.000000
0.065625       1.000000       2.196875       3.000000
0.066250       1.000000       2.198750       3.000000
0.066875       1.000000       2.200625       3.000000
0.067500       1.000000       2.202500       3.000000
0.068125       1.000000       2.204375       3.000000
0.068750       1.000000       2.206250       3.000000
0.069375       1.000000       2.208125       3.000000
0.070000       1.000000       2.210000       3.000000
0.070625       1.000000       2.211875       3.000000
0.071250       1.000000       2.213750       3.000000
0.071875       1.000000       2.215625       3.000000
0.072500       1.000000       2.217500       3.000000
0.073125       1.000000       2.219375       3.000000
0.073750       1.000000       2.221250       3.000000
0.074375       1.000000       2.223125       3.000000
0.075000       1.000000       2.225000       3.000000
0.075625       1.000000       2.226875       3.000000
0.076250       1.000000       2.228750       3.000000
0.076875       1.000000       2.230625       3.000000
0.077500       1.000000       2.232500       3.000000
0.078125       1.000000       2.234375       3.000000
